"","Year","Age","AgeGroup","Gender","education_level","Income","Income_categories","Urbanicity","HouseholdSize","ChildrenInHousehold","climate_threat","Q3"
"111","2021",55,"50_64","Male","Medium",5,"Richest 20%","Urban","1_2","Yes",1,2
"112","2021",88,"65_94","Male","Medium",4,"Fourth 20%","Rural","1_2","Yes",1,1
"113","2021",31,"30_49","Female","Medium",5,"Richest 20%","Urban","1_2","Yes",1,1
"114","2021",54,"50_64","Male","Medium",2,"Second 20%","Urban","3_4","Yes",1,2
"115","2021",85,"65_94","Female","High",3,"Third 20%","Urban","1_2","Yes",1,1
"116","2021",60,"50_64","Male","Medium",5,"Richest 20%","Rural","1_2","Yes",1,1
"117","2021",69,"65_94","Female","Medium",4,"Fourth 20%","Urban","1_2","Yes",1,1
"118","2021",70,"65_94","Female","High",3,"Third 20%","Rural","3_4","Yes",1,1
"119","2021",87,"65_94","Male",NA,4,"Fourth 20%",NA,"1_2","Yes",NA,99
"120","2021",26,"15_29","Female","Medium",1,"Poorest 20%","Urban","3_4","Yes",1,1
"121","2021",55,"50_64","Female","High",1,"Poorest 20%","Urban","3_4","Yes",1,1
"122","2021",43,"30_49","Female","Medium",1,"Poorest 20%","Urban","5+","Yes",1,1
"123","2021",86,"65_94","Female","Medium",2,"Second 20%","Rural","1_2","Yes",1,1
"124","2021",65,"65_94","Female","Low",5,"Richest 20%","Urban","1_2","Yes",1,1
"125","2021",50,"50_64","Male","High",5,"Richest 20%","Urban","1_2","Yes",1,2
"126","2021",57,"50_64","Male","High",4,"Fourth 20%","Urban","3_4","Yes",1,2
"127","2021",100,NA,"Female",NA,1,"Poorest 20%","Urban","1_2","Yes",0,98
"128","2021",50,"50_64","Male","Medium",3,"Third 20%","Rural","1_2","Yes",1,1
"129","2021",51,"50_64","Male","Low",3,"Third 20%","Urban","1_2","Yes",1,2
"130","2021",75,"65_94","Female","Medium",4,"Fourth 20%","Rural","1_2","Yes",1,1
"131","2021",63,"50_64","Female","High",5,"Richest 20%","Rural","1_2","Yes",1,1
"132","2021",55,"50_64","Female","Medium",5,"Richest 20%","Rural","1_2","Yes",1,2
"133","2021",30,"30_49","Male","Medium",1,"Poorest 20%","Rural","3_4","Yes",1,1
"134","2021",56,"50_64","Female","Low",2,"Second 20%","Rural","3_4","Yes",1,1
"135","2021",57,"50_64","Female","Medium",5,"Richest 20%","Urban","1_2","Yes",1,2
"136","2021",66,"65_94","Female","Medium",4,"Fourth 20%","Rural","3_4","Yes",1,1
"137","2021",56,"50_64","Male","Low",1,"Poorest 20%","Rural","3_4","Yes",1,1
"138","2021",60,"50_64","Male","Medium",2,"Second 20%","Rural","1_2","Yes",1,2
"139","2021",48,"30_49","Male","High",4,"Fourth 20%","Rural","1_2","Yes",1,1
"140","2021",24,"15_29","Female","Medium",4,"Fourth 20%","Urban","1_2","Yes",1,1
"141","2021",35,"30_49","Male","High",3,"Third 20%","Rural","3_4","Yes",1,1
"142","2021",62,"50_64","Female","Medium",5,"Richest 20%","Rural","1_2","Yes",1,1
"143","2021",49,"30_49","Female","High",4,"Fourth 20%","Rural","3_4","Yes",1,1
"144","2021",60,"50_64","Female","Low",4,"Fourth 20%","Rural","1_2","Yes",1,2
"145","2021",82,"65_94","Male","High",5,"Richest 20%","Urban","1_2","Yes",1,2
"146","2021",86,"65_94","Female","Medium",1,"Poorest 20%","Rural","1_2","Yes",0,3
"147","2021",54,"50_64","Male","High",5,"Richest 20%","Urban","1_2","Yes",1,1
"148","2021",72,"65_94","Male","Low",1,"Poorest 20%","Urban","3_4","Yes",1,1
"149","2021",42,"30_49","Male","Medium",1,"Poorest 20%","Rural","3_4","Yes",1,1
"150","2021",50,"50_64","Male","Medium",2,"Second 20%","Rural","3_4","Yes",1,1
"151","2021",65,"65_94","Male","High",3,"Third 20%","Urban","1_2","Yes",1,1
"152","2021",27,"15_29","Female","Medium",5,"Richest 20%","Rural","1_2","Yes",1,1
"153","2021",51,"50_64","Female","High",5,"Richest 20%","Rural","1_2","Yes",1,1
"154","2021",26,"15_29","Male","Medium",5,"Richest 20%","Rural","1_2","Yes",1,2
"155","2021",17,"15_29","Male","Medium",5,"Richest 20%","Urban","1_2","Yes",1,2
"156","2021",40,"30_49","Female","High",4,"Fourth 20%","Rural","1_2","Yes",0,3
"157","2021",45,"30_49","Male","Low",4,"Fourth 20%","Rural","1_2","Yes",1,1
"158","2021",65,"65_94","Female","High",4,"Fourth 20%","Rural","3_4","Yes",1,1
"159","2021",30,"30_49","Female","High",3,"Third 20%","Urban","1_2","Yes",1,1
"160","2021",68,"65_94","Female","Low",2,"Second 20%","Rural","1_2","Yes",1,1
"161","2021",67,"65_94","Male","High",4,"Fourth 20%","Rural","1_2","Yes",1,1
"162","2021",52,"50_64","Female","High",5,"Richest 20%","Rural","1_2","Yes",1,1
"163","2021",32,"30_49","Female","Medium",4,"Fourth 20%","Rural","1_2","Yes",1,2
"164","2021",30,"30_49","Female","High",5,"Richest 20%","Rural","1_2","Yes",1,1
"165","2021",50,"50_64","Male","High",5,"Richest 20%","Rural","3_4","Yes",1,2
"166","2021",66,"65_94","Male","Medium",4,"Fourth 20%","Rural","1_2","Yes",1,1
"167","2021",70,"65_94","Male","High",3,"Third 20%","Rural","1_2","Yes",1,2
"168","2021",52,"50_64","Female","High",3,"Third 20%","Rural","3_4","Yes",1,1
"169","2021",54,"50_64","Male","High",2,"Second 20%","Rural","5+","Yes",1,1
"170","2021",65,"65_94","Male","Medium",1,"Poorest 20%","Rural","5+","Yes",1,2
"171","2021",54,"50_64","Female","High",3,"Third 20%","Urban","5+","Yes",1,1
"172","2021",25,"15_29","Female","High",5,"Richest 20%","Urban","1_2","Yes",1,2
"173","2021",40,"30_49","Male","Medium",4,"Fourth 20%","Rural","1_2","Yes",1,1
"174","2021",53,"50_64","Female","Medium",4,"Fourth 20%","Rural","1_2","Yes",1,1
"175","2021",44,"30_49","Male","Medium",1,"Poorest 20%","Rural","5+","Yes",1,1
"176","2021",69,"65_94","Male","High",3,"Third 20%","Rural","3_4","Yes",1,1
"177","2021",68,"65_94","Female","High",4,"Fourth 20%","Rural","1_2","Yes",1,1
"178","2021",24,"15_29","Male","Medium",4,"Fourth 20%","Rural","1_2","Yes",1,1
"179","2021",57,"50_64","Female","High",5,"Richest 20%","Rural","1_2","Yes",1,1
"180","2021",40,"30_49","Male","Low",3,"Third 20%","Rural","3_4","Yes",1,1
"181","2021",58,"50_64","Female","Medium",4,"Fourth 20%","Rural","1_2","Yes",0,3
"182","2021",66,"65_94","Female","Medium",4,"Fourth 20%","Rural","1_2","Yes",1,1
"183","2021",40,"30_49","Male","Medium",2,"Second 20%","Urban","3_4","Yes",1,2
"184","2021",69,"65_94","Male","High",1,"Poorest 20%","Urban","3_4","Yes",1,1
"185","2021",52,"50_64","Male","Medium",3,"Third 20%","Rural","3_4","Yes",1,1
"186","2021",47,"30_49","Male","High",2,"Second 20%","Rural","5+","Yes",0,3
"187","2021",30,"30_49","Female","High",5,"Richest 20%","Urban","1_2","Yes",0,3
"188","2021",34,"30_49","Female","High",1,"Poorest 20%","Urban","3_4","Yes",1,1
"189","2021",27,"15_29","Female","High",5,"Richest 20%","Urban","1_2","Yes",1,1
"190","2021",29,"15_29","Male","High",5,"Richest 20%","Rural","1_2","Yes",1,1
"191","2021",55,"50_64","Female","Medium",2,"Second 20%","Urban","1_2","Yes",0,3
"192","2021",54,"50_64","Male","High",4,"Fourth 20%","Urban","1_2","Yes",1,1
"193","2021",42,"30_49","Male","Medium",5,"Richest 20%","Urban","1_2","Yes",1,2
"194","2021",52,"50_64","Female","High",3,"Third 20%","Rural","1_2","Yes",1,2
"195","2021",70,"65_94","Female","High",2,"Second 20%","Rural","1_2","Yes",1,1
"196","2021",51,"50_64","Female","High",3,"Third 20%","Rural","3_4","Yes",1,1
"197","2021",42,"30_49","Male","Medium",3,"Third 20%","Rural","3_4","Yes",1,1
"198","2021",31,"30_49","Female","High",3,"Third 20%","Rural","3_4","Yes",1,1
"199","2021",59,"50_64","Male","High",3,"Third 20%","Urban","1_2","Yes",1,2
"200","2021",25,"15_29","Female","Medium",1,"Poorest 20%","Rural","5+","Yes",1,1
"201","2021",47,"30_49","Female","High",2,"Second 20%","Rural","3_4","Yes",1,2
"202","2021",47,"30_49","Female","Medium",4,"Fourth 20%","Rural","1_2","Yes",1,2
"203","2021",40,"30_49","Male","Medium",3,"Third 20%","Urban","3_4","Yes",1,2
"204","2021",61,"50_64","Male","Medium",2,"Second 20%","Urban","3_4","Yes",1,1
"205","2021",50,"50_64","Female","High",1,"Poorest 20%","Rural","3_4","Yes",1,1
"206","2021",50,"50_64","Female","Medium",5,"Richest 20%","Rural","1_2","Yes",1,1
"207","2021",73,"65_94","Male","Medium",2,"Second 20%","Urban","5+","Yes",0,3
"208","2021",84,"65_94","Female","High",1,"Poorest 20%","Rural","1_2","Yes",1,1
"209","2021",59,"50_64","Male","Medium",3,"Third 20%","Rural","3_4","Yes",1,2
"210","2021",61,"50_64","Male","Low",1,"Poorest 20%","Rural","5+","Yes",1,1
"211","2021",60,"50_64","Male","High",4,"Fourth 20%","Urban","1_2","Yes",1,2
"212","2021",77,"65_94","Male","Medium",4,"Fourth 20%","Rural","1_2","Yes",1,1
"213","2021",39,"30_49","Male","Low",4,"Fourth 20%","Rural","1_2","Yes",1,1
"214","2021",67,"65_94","Male","Medium",1,"Poorest 20%","Rural","3_4","Yes",1,1
"215","2021",51,"50_64","Female","High",4,"Fourth 20%","Urban","1_2","Yes",1,1
"216","2021",75,"65_94","Male","Low",3,"Third 20%","Rural","1_2","Yes",1,1
"217","2021",23,"15_29","Male","Medium",3,"Third 20%","Rural","1_2","Yes",1,1
"218","2021",86,"65_94","Female","Medium",1,"Poorest 20%","Rural","1_2","Yes",1,1
"219","2021",63,"50_64","Male","High",5,"Richest 20%","Rural","1_2","Yes",1,1
"220","2021",68,"65_94","Female","High",4,"Fourth 20%","Urban","3_4","Yes",1,1
"221","2021",47,"30_49","Male","High",2,"Second 20%","Rural","3_4","Yes",1,1
"222","2021",30,"30_49","Female","High",5,"Richest 20%","Urban","1_2","Yes",1,2
"223","2021",59,"50_64","Male","High",4,"Fourth 20%","Urban","3_4","Yes",1,1
"224","2021",46,"30_49","Male","Medium",3,"Third 20%","Urban","3_4","Yes",0,3
"225","2021",17,"15_29","Female","Low",4,"Fourth 20%","Urban","1_2","Yes",1,1
"226","2021",22,"15_29","Female","Medium",3,"Third 20%","Rural","3_4","Yes",1,1
"227","2021",21,"15_29","Male","Medium",3,"Third 20%","Rural","1_2","Yes",1,1
"228","2021",90,"65_94","Male","Medium",5,"Richest 20%","Rural","1_2","Yes",1,1
"229","2021",40,"30_49","Male","High",3,"Third 20%","Urban","3_4","Yes",1,1
"230","2021",66,"65_94","Female","High",3,"Third 20%","Urban","1_2","Yes",1,1
"231","2021",42,"30_49","Female","Medium",3,"Third 20%","Rural","1_2","Yes",1,1
"232","2021",50,"50_64","Female","High",5,"Richest 20%","Urban","1_2","Yes",1,1
"233","2021",53,"50_64","Male","Medium",1,"Poorest 20%","Rural","3_4","Yes",1,1
"234","2021",24,"15_29","Male","Medium",1,"Poorest 20%","Urban","5+","Yes",1,1
"235","2021",55,"50_64","Male","High",4,"Fourth 20%","Urban","1_2","Yes",1,1
"236","2021",19,"15_29","Female","Medium",1,"Poorest 20%","Rural","3_4","Yes",1,2
"237","2021",80,"65_94","Male","Low",4,"Fourth 20%","Rural","1_2","Yes",0,3
"238","2021",32,"30_49","Female","Medium",1,"Poorest 20%","Urban","3_4","Yes",1,1
"239","2021",36,"30_49","Male","Medium",1,"Poorest 20%","Urban","1_2","Yes",0,3
"240","2021",66,"65_94","Male","Medium",5,"Richest 20%","Rural","1_2","Yes",1,1
"241","2021",25,"15_29","Male","Medium",3,"Third 20%","Rural","1_2","Yes",0,3
"242","2021",38,"30_49","Female","Medium",2,"Second 20%","Rural","1_2","Yes",1,1
"243","2021",55,"50_64","Female","High",4,"Fourth 20%","Rural","1_2","Yes",1,1
"244","2021",33,"30_49","Male","Medium",4,"Fourth 20%","Urban","1_2","Yes",1,1
"245","2021",55,"50_64","Male","High",4,"Fourth 20%","Rural","3_4","Yes",1,1
"246","2021",77,"65_94","Male","High",4,"Fourth 20%","Urban","1_2","Yes",1,2
"247","2021",54,"50_64","Female","Low",3,"Third 20%","Urban","1_2","Yes",1,1
"248","2021",40,"30_49","Male","Medium",1,"Poorest 20%","Rural","3_4","Yes",0,3
"249","2021",58,"50_64","Female","High",5,"Richest 20%","Rural","1_2","Yes",1,1
"250","2021",40,"30_49","Male","Medium",4,"Fourth 20%","Urban","1_2","Yes",1,2
"251","2021",24,"15_29","Male","Medium",3,"Third 20%","Urban","3_4","Yes",1,1
"252","2021",42,"30_49","Female","High",5,"Richest 20%","Rural","3_4","Yes",1,1
"253","2021",35,"30_49","Male","Medium",1,"Poorest 20%","Urban","3_4","Yes",1,1
"254","2021",77,"65_94","Female","Low",4,"Fourth 20%","Rural","1_2","Yes",1,1
"255","2021",45,"30_49","Male","Low",1,"Poorest 20%","Rural","1_2","Yes",1,2
"256","2021",49,"30_49","Male","High",5,"Richest 20%","Urban","1_2","Yes",1,1
"257","2021",65,"65_94","Male","High",5,"Richest 20%","Urban","1_2","Yes",1,1
"258","2021",77,"65_94","Male","High",5,"Richest 20%","Rural","1_2","Yes",1,2
"259","2021",69,"65_94","Female","High",5,"Richest 20%","Urban","1_2","Yes",1,1
"260","2021",68,"65_94","Female","Medium",2,"Second 20%","Rural","1_2","Yes",1,2
"261","2021",36,"30_49","Female","High",1,"Poorest 20%","Rural","3_4","Yes",1,1
"262","2021",56,"50_64","Male","High",5,"Richest 20%","Rural","3_4","Yes",1,1
"263","2021",70,"65_94","Female","High",1,"Poorest 20%","Rural","5+","Yes",1,1
"264","2021",24,"15_29","Male","Medium",2,"Second 20%","Urban","3_4","Yes",1,2
"265","2021",62,"50_64","Male","Medium",2,"Second 20%","Rural","3_4","Yes",1,1
"266","2021",23,"15_29","Female","Medium",2,"Second 20%","Rural","1_2","Yes",1,1
"267","2021",67,"65_94","Male","High",4,"Fourth 20%","Urban","1_2","Yes",1,2
"268","2021",36,"30_49","Male","High",5,"Richest 20%","Urban","1_2","Yes",1,1
"269","2021",42,"30_49","Male","High",5,"Richest 20%","Urban","1_2","Yes",1,1
"270","2021",34,"30_49","Male","Medium",3,"Third 20%","Rural","1_2","Yes",1,1
"271","2021",76,"65_94","Male","Medium",3,"Third 20%","Urban","3_4","Yes",1,1
"272","2021",74,"65_94","Female","High",2,"Second 20%","Rural","1_2","Yes",1,1
"273","2021",59,"50_64","Male","High",5,"Richest 20%","Urban","1_2","Yes",1,1
"274","2021",47,"30_49","Male","High",2,"Second 20%","Urban","1_2","Yes",1,2
"275","2021",72,"65_94","Female","Medium",4,"Fourth 20%","Urban","1_2","Yes",1,2
"276","2021",41,"30_49","Female","Medium",2,"Second 20%","Rural","3_4","Yes",1,2
"277","2021",28,"15_29","Female","High",5,"Richest 20%","Rural","1_2","Yes",1,2
"278","2021",51,"50_64","Male","High",3,"Third 20%","Rural","1_2","Yes",1,1
"279","2021",100,NA,"Male","High",4,"Fourth 20%","Urban","1_2","Yes",1,1
"280","2021",69,"65_94","Female","High",4,"Fourth 20%","Urban","3_4","Yes",1,2
"281","2021",19,"15_29","Male","Medium",5,"Richest 20%","Rural","1_2","Yes",1,1
"282","2021",58,"50_64","Female","High",5,"Richest 20%","Urban","1_2","Yes",1,1
"283","2021",71,"65_94","Female","High",5,"Richest 20%","Rural","1_2","Yes",1,2
"284","2021",65,"65_94","Male","Medium",5,"Richest 20%","Urban","1_2","Yes",1,1
"285","2021",56,"50_64","Male","Medium",1,"Poorest 20%","Urban","3_4","Yes",1,2
"286","2021",67,"65_94","Female","High",3,"Third 20%","Rural","1_2","Yes",1,1
"287","2021",56,"50_64","Male","High",4,"Fourth 20%","Urban","1_2","Yes",1,2
"288","2021",65,"65_94","Female","Medium",2,"Second 20%","Urban","1_2","Yes",1,1
"289","2021",64,"50_64","Male","High",4,"Fourth 20%","Rural","1_2","Yes",1,2
"290","2021",41,"30_49","Male","High",5,"Richest 20%","Urban","1_2","Yes",1,1
"291","2021",28,"15_29","Female","High",5,"Richest 20%","Urban","1_2","Yes",1,1
"292","2021",71,"65_94","Male","Low",3,"Third 20%","Rural","1_2","Yes",1,1
"293","2021",43,"30_49","Male","Medium",5,"Richest 20%","Rural","1_2","Yes",1,2
"294","2021",32,"30_49","Male","High",5,"Richest 20%","Rural","1_2","Yes",0,3
"295","2021",68,"65_94","Male","High",5,"Richest 20%","Urban","1_2","Yes",1,1
"296","2021",46,"30_49","Female","Medium",2,"Second 20%","Rural","1_2","Yes",1,1
"297","2021",70,"65_94","Female","High",2,"Second 20%","Rural","1_2","Yes",1,1
"298","2021",23,"15_29","Female","Medium",2,"Second 20%","Rural","3_4","Yes",1,2
"299","2021",75,"65_94","Male","High",2,"Second 20%","Urban","3_4","Yes",1,1
"300","2021",29,"15_29","Female","Medium",3,"Third 20%","Urban","3_4","Yes",0,3
"301","2021",70,"65_94","Female","High",1,"Poorest 20%","Rural","1_2","Yes",1,2
"302","2021",69,"65_94","Male","High",3,"Third 20%","Urban","1_2","Yes",1,2
"303","2021",70,"65_94","Female","High",1,"Poorest 20%","Urban","3_4","Yes",1,1
"304","2021",73,"65_94","Male","High",5,"Richest 20%","Urban","1_2","Yes",1,1
"305","2021",54,"50_64","Male","Medium",1,"Poorest 20%","Rural","5+","Yes",1,1
"306","2021",48,"30_49","Male","Medium",3,"Third 20%","Rural","1_2","Yes",1,2
"307","2021",52,"50_64","Male","Medium",5,"Richest 20%","Rural","5+","Yes",1,2
"308","2021",39,"30_49","Female","Medium",2,"Second 20%","Urban","1_2","Yes",1,2
